@relation loanDefault
@attribute Loan_Amount REAL
@attribute Term { '36 months','60 months' }
@attribute Interest_Rate REAL
@attribute Employment_Length { '< 1 year','1 year','2 years','3 years','4 years','5 years','6 years','7 years','8 years','9 years','10+ years','n/a'}
@attribute Home_Ownership { 'OWN','RENT','MORTGAGE','NONE','OTHER'}
@attribute Annual_Income REAL
@attribute Debt_to_Income REAL
@attribute Credit_Score REAL
@attribute Class {'Fully Paid','Charged Off'}
@DATA
10300,'36 months',0.1299,'10+ years','MORTGAGE',35000,11.15,709,'Charged Off'
2500,'36 months',0.224,'7 years','RENT',43500,30.04,699,'Charged Off'
18000,'60 months',0.1952,'8 years','OWN',62000,9.79,664,'Charged Off'
6600,'36 months',0.0762,'10+ years','MORTGAGE',38000,25.01,754,'Charged Off'
3250,'36 months',0.151,'n/a','RENT',16349,30.84,699,'Charged Off'
1200,'36 months',0.143,'10+ years','OWN',58000,23.42,674,'Charged Off'
2000,'36 months',0.21,'10+ years','OWN',27000,24.93,669,'Charged Off'
6625,'36 months',0.143,'8 years','RENT',23655,20.07,709,'Charged Off'
16000,'60 months',0.171,'10+ years','MORTGAGE',73000,24.84,674,'Charged Off'
25000,'60 months',0.21,'10+ years','MORTGAGE',110000,26.94,674,'Charged Off'
20000,'60 months',0.202,'5 years','MORTGAGE',75000,21.25,694,'Charged Off'
28000,'36 months',0.0662,'3 years','MORTGAGE',100000,22.56,719,'Charged Off'
16000,'36 months',0.1367,'1 year','RENT',65000,12.75,719,'Charged Off'
12000,'60 months',0.1561,'10+ years','OWN',45000,19.65,669,'Charged Off'
12000,'36 months',0.1199,'2 years','RENT',53000,13.21,684,'Charged Off'
8575,'36 months',0.162,'1 year','RENT',38000,7.42,679,'Charged Off'
20400,'36 months',0.089,'10+ years','MORTGAGE',61435,19.91,674,'Charged Off'
8000,'36 months',0.1855,'4 years','RENT',30000,28.96,674,'Charged Off'
15000,'36 months',0.151,'8 years','RENT',49000,10.38,694,'Charged Off'
30950,'60 months',0.224,'7 years','MORTGAGE',110000,21.81,679,'Charged Off'
18000,'60 months',0.151,'5 years','MORTGAGE',95000,28.22,679,'Charged Off'
14000,'60 months',0.21,'1 year','RENT',39000,34.79,669,'Charged Off'
28000,'60 months',0.1952,'1 year','RENT',76000,16.14,679,'Charged Off'
10000,'60 months',0.1776,'3 years','RENT',30000,23.04,679,'Charged Off'
16000,'36 months',0.151,'2 years','MORTGAGE',80000,13.74,694,'Charged Off'
7000,'36 months',0.1099,'7 years','OWN',30000,16.28,684,'Charged Off'
15875,'36 months',0.143,'10+ years','MORTGAGE',105000,17.03,694,'Charged Off'
1800,'36 months',0.143,'5 years','MORTGAGE',75000,23.5,694,'Charged Off'
9600,'36 months',0.1561,'4 years','OWN',30000,9.32,669,'Charged Off'
15000,'36 months',0.1299,'10+ years','MORTGAGE',76000,22.24,669,'Charged Off'
4000,'36 months',0.162,'3 years','MORTGAGE',45000,13.65,679,'Charged Off'
3000,'60 months',0.224,'4 years','MORTGAGE',62000,29.02,664,'Charged Off'
14500,'60 months',0.1855,'10+ years','RENT',48000,12.85,684,'Charged Off'
28000,'36 months',0.151,'6 years','MORTGAGE',85000,26.05,694,'Charged Off'
10000,'36 months',0.089,'6 years','OWN',55000,12.57,799,'Charged Off'
12000,'60 months',0.1952,'9 years','RENT',70000,15.12,664,'Charged Off'
10000,'60 months',0.202,'1 year','OWN',36000,20.07,714,'Charged Off'
5500,'60 months',0.258,'< 1 year','RENT',25000,20.98,689,'Charged Off'
30000,'36 months',0.1199,'8 years','RENT',71000,33.61,739,'Charged Off'
12000,'60 months',0.192,'10+ years','MORTGAGE',60000,8.68,664,'Charged Off'
17050,'60 months',0.237,'n/a','MORTGAGE',39000,13.94,699,'Charged Off'
15000,'36 months',0.151,'1 year','MORTGAGE',82000,32.39,689,'Charged Off'
17500,'60 months',0.231,'5 years','MORTGAGE',86000,23.6,694,'Charged Off'
19400,'60 months',0.1952,'10+ years','RENT',73000,29.18,699,'Charged Off'
18000,'36 months',0.1299,'5 years','MORTGAGE',51500,23,749,'Charged Off'
24925,'60 months',0.2589,'10+ years','RENT',55405,10.27,669,'Charged Off'
10000,'60 months',0.143,'5 years','MORTGAGE',32000,27.49,719,'Charged Off'
11200,'36 months',0.151,'10+ years','MORTGAGE',38000,26.12,669,'Charged Off'
30000,'60 months',0.1952,'10+ years','MORTGAGE',85000,20.08,674,'Charged Off'
11500,'36 months',0.1299,'2 years','RENT',38000,25.01,729,'Charged Off'
24000,'60 months',0.1952,'5 years','RENT',83000,9.12,674,'Charged Off'
23800,'60 months',0.171,'n/a','OWN',54000,6.58,679,'Charged Off'
8000,'36 months',0.1952,'10+ years','MORTGAGE',80000,24.02,689,'Charged Off'
2000,'36 months',0.237,'< 1 year','OWN',25000,0,729,'Charged Off'
28000,'60 months',0.237,'10+ years','RENT',92000,5.61,669,'Charged Off'
13000,'36 months',0.171,'10+ years','MORTGAGE',55000,13.53,674,'Charged Off'
14000,'60 months',0.231,'10+ years','RENT',83000,27.29,709,'Charged Off'
10000,'36 months',0.1199,'2 years','RENT',48000,12.53,729,'Charged Off'
14250,'36 months',0.1199,'n/a','RENT',65000,16.95,694,'Charged Off'
10000,'36 months',0.1099,'10+ years','RENT',96000,29.36,699,'Charged Off'
35000,'60 months',0.162,'10+ years','RENT',117000,13.24,694,'Charged Off'
16000,'36 months',0.202,'10+ years','MORTGAGE',56000,18.41,664,'Charged Off'
10000,'60 months',0.202,'10+ years','MORTGAGE',52000,7.02,704,'Charged Off'
35000,'60 months',0.202,'9 years','MORTGAGE',100000,15.56,704,'Charged Off'
15000,'60 months',0.162,'10+ years','MORTGAGE',82500,21.75,694,'Charged Off'
16950,'60 months',0.217,'< 1 year','MORTGAGE',70000,24.98,729,'Charged Off'
5000,'36 months',0.079,'n/a','MORTGAGE',47000,14.84,679,'Charged Off'
12000,'60 months',0.1776,'1 year','RENT',40000,11.1,669,'Charged Off'
12000,'60 months',0.1367,'10+ years','MORTGAGE',140000,20.23,704,'Charged Off'
28000,'36 months',0.0967,'< 1 year','MORTGAGE',101000,22.17,689,'Charged Off'
18000,'36 months',0.0967,'6 years','RENT',46000,14.4,714,'Charged Off'
27050,'60 months',0.1855,'10+ years','MORTGAGE',60422.04,28.48,719,'Charged Off'
18000,'36 months',0.1367,'6 years','MORTGAGE',130000,9.25,664,'Charged Off'
20000,'36 months',0.1367,'10+ years','OWN',50000,21.36,719,'Charged Off'
8400,'36 months',0.1099,'10+ years','MORTGAGE',64500,27.16,709,'Charged Off'
25000,'36 months',0.1299,'5 years','RENT',100000,7.5,689,'Charged Off'
12000,'60 months',0.162,'10+ years','RENT',42000,17.89,719,'Charged Off'
25000,'36 months',0.143,'10+ years','MORTGAGE',150000,11.59,674,'Charged Off'
28000,'36 months',0.1199,'10+ years','MORTGAGE',110000,11.53,699,'Charged Off'
7350,'36 months',0.1952,'10+ years','MORTGAGE',35000,6.04,664,'Charged Off'
3000,'36 months',0.1199,'2 years','RENT',45000,32.96,739,'Charged Off'
9000,'36 months',0.1199,'10+ years','MORTGAGE',65000,27.77,754,'Charged Off'
24000,'36 months',0.1367,'10+ years','MORTGAGE',86000,29.63,709,'Charged Off'
35000,'36 months',0.1561,'< 1 year','RENT',95000,30.94,674,'Charged Off'
14000,'60 months',0.1855,'6 years','MORTGAGE',160000,16.84,689,'Charged Off'
24175,'36 months',0.1855,'10+ years','MORTGAGE',106458,20.28,684,'Charged Off'
15000,'60 months',0.171,'10+ years','MORTGAGE',72500,34.07,674,'Charged Off'
31300,'60 months',0.2408,'10+ years','RENT',70000,22.57,694,'Charged Off'
11500,'36 months',0.151,'5 years','MORTGAGE',38002,34.52,684,'Charged Off'
26500,'36 months',0.171,'10+ years','MORTGAGE',60000,14.72,669,'Charged Off'
11200,'60 months',0.171,'10+ years','MORTGAGE',60000,17.9,669,'Charged Off'
7000,'36 months',0.234,'3 years','MORTGAGE',31500,24.15,664,'Charged Off'
19750,'60 months',0.1952,'6 years','MORTGAGE',45000,15.31,704,'Charged Off'
30000,'60 months',0.2599,'2 years','MORTGAGE',115000,11.86,669,'Charged Off'
7000,'36 months',0.171,'10+ years','MORTGAGE',62000,27.66,674,'Charged Off'
24000,'60 months',0.1561,'10+ years','RENT',80000,28.05,704,'Charged Off'
5250,'36 months',0.192,'10+ years','RENT',29000,19.95,664,'Charged Off'
21250,'60 months',0.1855,'2 years','MORTGAGE',50000,27.87,689,'Charged Off'
13500,'36 months',0.079,'2 years','RENT',50000,11.8,754,'Charged Off'
16000,'36 months',0.089,'5 years','OWN',85000,7.34,699,'Charged Off'
24000,'60 months',0.237,'10+ years','MORTGAGE',95000,13.09,679,'Charged Off'
10000,'36 months',0.1299,'10+ years','RENT',68000,18.87,669,'Charged Off'
15000,'60 months',0.1855,'8 years','MORTGAGE',42000,26,664,'Charged Off'
8000,'36 months',0.1199,'6 years','RENT',43845,9.28,689,'Charged Off'
30000,'36 months',0.089,'2 years','MORTGAGE',92500,10.64,709,'Charged Off'
24575,'60 months',0.1855,'8 years','RENT',56000,30.75,694,'Charged Off'
12250,'36 months',0.143,'2 years','MORTGAGE',67600,24.29,704,'Charged Off'
20000,'60 months',0.151,'10+ years','MORTGAGE',62000,29.31,709,'Charged Off'
11200,'36 months',0.0967,'6 years','RENT',55000,10.74,674,'Charged Off'
25975,'60 months',0.1952,'10+ years','MORTGAGE',60000,24.12,679,'Charged Off'
8000,'36 months',0.162,'10+ years','MORTGAGE',35000,21.84,684,'Charged Off'
6000,'36 months',0.1099,'n/a','MORTGAGE',51000,27.84,674,'Charged Off'
21000,'60 months',0.1952,'2 years','MORTGAGE',48000,20.25,709,'Charged Off'
17000,'36 months',0.0967,'8 years','MORTGAGE',75000,27.31,664,'Charged Off'
12000,'36 months',0.1099,'3 years','MORTGAGE',65000,19.64,684,'Charged Off'
26500,'60 months',0.217,'7 years','RENT',60000,25.38,694,'Charged Off'
4000,'36 months',0.202,'< 1 year','RENT',15500,6.97,689,'Charged Off'
10000,'60 months',0.234,'10+ years','RENT',47000,22.91,684,'Charged Off'
10000,'60 months',0.1952,'10+ years','MORTGAGE',33000,22.33,694,'Charged Off'
20000,'36 months',0.1776,'2 years','RENT',72000,27.98,669,'Charged Off'
8000,'36 months',0.1367,'7 years','RENT',65000,28.67,674,'Charged Off'
4000,'36 months',0.1776,'n/a','MORTGAGE',40724.69,24.23,684,'Charged Off'
35000,'60 months',0.202,'10+ years','MORTGAGE',100000,14.29,674,'Charged Off'
8400,'36 months',0.143,'n/a','MORTGAGE',27310.8,19.47,664,'Charged Off'
30000,'60 months',0.21,'2 years','MORTGAGE',81000,26.64,674,'Charged Off'
21000,'60 months',0.217,'10+ years','MORTGAGE',70000,29.35,674,'Charged Off'
10000,'36 months',0.1299,'< 1 year','OWN',80000,19.61,734,'Charged Off'
24625,'60 months',0.1855,'7 years','RENT',70000,25.7,709,'Charged Off'
35000,'60 months',0.217,'5 years','MORTGAGE',96000,15.94,744,'Charged Off'
11700,'60 months',0.192,'10+ years','OWN',34000,14.68,689,'Charged Off'
18800,'36 months',0.1299,'3 years','MORTGAGE',50000,21.12,694,'Charged Off'
13475,'36 months',0.1952,'2 years','RENT',46000,29.59,689,'Charged Off'
8325,'36 months',0.1952,'1 year','MORTGAGE',34000,27.74,669,'Charged Off'
24375,'60 months',0.192,'7 years','MORTGAGE',55000,9.67,689,'Charged Off'
15000,'60 months',0.1367,'8 years','RENT',60000,26.52,739,'Charged Off'
12000,'60 months',0.21,'8 years','RENT',62000,22.89,674,'Charged Off'
25000,'36 months',0.143,'n/a','MORTGAGE',66000,30.7,699,'Charged Off'
5200,'36 months',0.1367,'< 1 year','OWN',34000,14.81,664,'Charged Off'
20000,'36 months',0.1199,'2 years','RENT',52000,14.15,704,'Charged Off'
22250,'60 months',0.202,'1 year','MORTGAGE',50000,21.65,734,'Charged Off'
14900,'36 months',0.151,'10+ years','MORTGAGE',58688,20.86,689,'Charged Off'
8725,'36 months',0.21,'8 years','RENT',26000,23.4,694,'Charged Off'
10800,'60 months',0.1367,'6 years','RENT',110000,8.07,744,'Charged Off'
10000,'36 months',0.143,'9 years','MORTGAGE',109000,12.85,734,'Charged Off'
12000,'36 months',0.1367,'2 years','RENT',57000,28.91,679,'Charged Off'
14000,'60 months',0.217,'10+ years','MORTGAGE',47000,21.02,684,'Charged Off'
10800,'60 months',0.1299,'2 years','RENT',46800,25.26,744,'Charged Off'
25000,'60 months',0.171,'n/a','MORTGAGE',58356,11.45,714,'Charged Off'
20000,'36 months',0.151,'3 years','MORTGAGE',148000,16.52,684,'Charged Off'
6000,'36 months',0.1561,'7 years','RENT',85000,15.22,704,'Charged Off'
20000,'60 months',0.2408,'8 years','RENT',67000,26.06,674,'Charged Off'
35000,'36 months',0.1855,'n/a','MORTGAGE',153000,22.66,704,'Charged Off'
5000,'36 months',0.2408,'3 years','RENT',95000,19.37,664,'Charged Off'
4800,'36 months',0.1367,'5 years','MORTGAGE',47700,17.11,684,'Charged Off'
17250,'60 months',0.1855,'4 years','OWN',67000,18.34,714,'Charged Off'
12000,'36 months',0.1367,'5 years','RENT',37500,26.97,674,'Charged Off'
10000,'36 months',0.1952,'10+ years','RENT',45000,12.24,664,'Charged Off'
9000,'36 months',0.162,'10+ years','RENT',94000,10.52,674,'Charged Off'
12500,'60 months',0.1299,'10+ years','MORTGAGE',55000,24.68,729,'Charged Off'
15000,'36 months',0.1099,'10+ years','OWN',52400,8.38,674,'Charged Off'
7500,'36 months',0.079,'10+ years','MORTGAGE',27264,16.99,679,'Charged Off'
7000,'36 months',0.089,'3 years','MORTGAGE',42000,10.71,694,'Charged Off'
7200,'36 months',0.143,'3 years','RENT',40865,19.12,684,'Charged Off'
10000,'60 months',0.162,'7 years','RENT',53000,12.73,689,'Charged Off'
12000,'60 months',0.1776,'2 years','MORTGAGE',57000,20.48,669,'Charged Off'
19425,'36 months',0.1367,'4 years','RENT',70000,21.28,689,'Charged Off'
14000,'36 months',0.079,'2 years','MORTGAGE',145000,19.84,719,'Charged Off'
25000,'60 months',0.21,'10+ years','MORTGAGE',78000,24.98,674,'Charged Off'
10625,'36 months',0.1561,'5 years','RENT',40000,18.69,724,'Charged Off'
5000,'36 months',0.1367,'n/a','RENT',24000,29.3,714,'Charged Off'
35000,'60 months',0.1952,'5 years','RENT',100000,17.28,709,'Charged Off'
12000,'60 months',0.171,'1 year','MORTGAGE',75000,10.16,684,'Charged Off'
6000,'36 months',0.0967,'10+ years','RENT',35484,14.27,699,'Charged Off'
32350,'60 months',0.224,'10+ years','MORTGAGE',72000,33.5,714,'Charged Off'
5825,'36 months',0.143,'3 years','MORTGAGE',20000,12.79,689,'Charged Off'
15550,'60 months',0.192,'10+ years','MORTGAGE',52000,28.32,679,'Charged Off'
19400,'60 months',0.2408,'6 years','RENT',55000,16.47,669,'Charged Off'
22000,'36 months',0.151,'9 years','RENT',50000,17.34,679,'Charged Off'
35000,'60 months',0.192,'10+ years','MORTGAGE',102000,20.87,684,'Charged Off'
6900,'36 months',0.1776,'10+ years','MORTGAGE',50000,27.24,669,'Charged Off'
10000,'36 months',0.143,'< 1 year','RENT',45000,30.32,679,'Charged Off'
4450,'36 months',0.245,'5 years','RENT',27000,13.02,664,'Charged Off'
10000,'60 months',0.143,'9 years','MORTGAGE',45000,25.36,674,'Charged Off'
21725,'60 months',0.202,'n/a','MORTGAGE',48500,16.51,674,'Charged Off'
10000,'36 months',0.089,'6 years','MORTGAGE',95000,16.65,679,'Charged Off'
12000,'36 months',0.1367,'9 years','RENT',52000,20.96,669,'Charged Off'
35000,'36 months',0.1367,'2 years','MORTGAGE',140000,9.78,694,'Charged Off'
16800,'60 months',0.2557,'3 years','RENT',63500,29.3,679,'Charged Off'
9750,'60 months',0.202,'6 years','OWN',29000,28.68,699,'Charged Off'
4200,'36 months',0.1952,'< 1 year','RENT',30000,22.16,669,'Charged Off'
11700,'36 months',0.245,'n/a','OWN',200000,16.66,684,'Charged Off'
14400,'36 months',0.1199,'2 years','RENT',45000,8.96,714,'Charged Off'
10000,'60 months',0.192,'10+ years','MORTGAGE',71000,30.1,694,'Charged Off'
20000,'36 months',0.0762,'5 years','MORTGAGE',75000,11.66,719,'Charged Off'
18000,'36 months',0.143,'3 years','MORTGAGE',125000,14.13,694,'Charged Off'
25000,'36 months',0.162,'8 years','MORTGAGE',140000,6.15,679,'Charged Off'
20000,'60 months',0.217,'3 years','RENT',70000,32.25,689,'Charged Off'
5000,'36 months',0.089,'10+ years','OWN',26000,28.95,684,'Charged Off'
6400,'36 months',0.143,'6 years','OWN',71621,9.75,699,'Charged Off'
12000,'36 months',0.1367,'7 years','RENT',67000,15.12,704,'Charged Off'
15000,'60 months',0.1776,'8 years','MORTGAGE',86400,15.76,684,'Charged Off'
11500,'60 months',0.2499,'9 years','RENT',62500,16.99,664,'Charged Off'
24250,'60 months',0.2599,'n/a','OWN',54324,20.19,689,'Charged Off'
30000,'60 months',0.234,'10+ years','MORTGAGE',129000,11.38,684,'Charged Off'
1800,'36 months',0.217,'7 years','RENT',29000,22.31,669,'Charged Off'
20500,'60 months',0.151,'n/a','RENT',46000,20.71,714,'Charged Off'
35000,'36 months',0.237,'10+ years','MORTGAGE',120000,21.76,674,'Charged Off'
10000,'60 months',0.1952,'10+ years','MORTGAGE',91000,11.05,679,'Charged Off'
18000,'60 months',0.162,'3 years','MORTGAGE',40000,17.76,679,'Charged Off'
24000,'60 months',0.1855,'10+ years','RENT',80000,25.43,669,'Charged Off'
5000,'36 months',0.089,'10+ years','RENT',70000,22.53,704,'Charged Off'
11500,'36 months',0.1855,'5 years','RENT',35000,27.74,664,'Charged Off'
14300,'36 months',0.245,'7 years','MORTGAGE',37000,19.59,664,'Charged Off'
20000,'36 months',0.1299,'7 years','MORTGAGE',75000,25.57,689,'Charged Off'
25000,'60 months',0.1776,'2 years','MORTGAGE',105000,16.32,674,'Charged Off'
30000,'36 months',0.1776,'6 years','RENT',84000,17.14,684,'Charged Off'
11500,'60 months',0.234,'6 years','RENT',47000,28.17,694,'Charged Off'
35000,'60 months',0.1561,'4 years','RENT',225000,9.45,704,'Charged Off'
10000,'36 months',0.0967,'9 years','RENT',60000,10.44,704,'Charged Off'
5375,'36 months',0.1299,'n/a','OWN',18500,28.75,704,'Charged Off'
11200,'36 months',0.1561,'6 years','RENT',40000,25.68,689,'Charged Off'
12000,'60 months',0.171,'10+ years','MORTGAGE',80000,7.25,664,'Charged Off'
5000,'36 months',0.0967,'10+ years','RENT',98000,28.46,699,'Charged Off'
4000,'36 months',0.1099,'10+ years','RENT',45000,13.36,674,'Charged Off'
22200,'60 months',0.202,'1 year','MORTGAGE',50003,26.48,699,'Charged Off'
12000,'60 months',0.192,'9 years','MORTGAGE',65260,21.55,664,'Charged Off'
35000,'60 months',0.192,'10+ years','MORTGAGE',140000,29.51,679,'Charged Off'
19500,'60 months',0.2408,'n/a','MORTGAGE',55000,18.33,699,'Charged Off'
15000,'60 months',0.1561,'10+ years','RENT',45000,12,684,'Charged Off'
10625,'60 months',0.21,'< 1 year','RENT',32200,30.56,669,'Charged Off'
21725,'36 months',0.1855,'10+ years','MORTGAGE',49000,19.06,674,'Charged Off'
26500,'60 months',0.224,'10+ years','MORTGAGE',60000,22.98,689,'Charged Off'
11100,'60 months',0.1776,'10+ years','MORTGAGE',33000,24.36,724,'Charged Off'
21675,'36 months',0.1299,'8 years','RENT',65000,29.5,704,'Charged Off'
33000,'60 months',0.21,'5 years','RENT',98000,18.05,679,'Charged Off'
15000,'36 months',0.1299,'10+ years','MORTGAGE',62000,11.34,664,'Charged Off'
21050,'60 months',0.171,'< 1 year','MORTGAGE',84000,10.65,679,'Charged Off'
35000,'60 months',0.2499,'10+ years','MORTGAGE',98000,19.43,664,'Charged Off'
11500,'60 months',0.162,'5 years','MORTGAGE',33000,24.69,724,'Charged Off'
10000,'36 months',0.1299,'5 years','RENT',40000,12.53,684,'Charged Off'
16800,'60 months',0.217,'8 years','RENT',65000,18.81,664,'Charged Off'
26500,'36 months',0.202,'10+ years','OWN',60000,27.74,689,'Charged Off'
2400,'36 months',0.171,'6 years','OWN',30000,20.72,679,'Charged Off'
17000,'60 months',0.1367,'6 years','MORTGAGE',43000,9.09,679,'Charged Off'
9000,'36 months',0.234,'10+ years','RENT',65000,13.92,669,'Charged Off'
12000,'60 months',0.1952,'10+ years','MORTGAGE',120000,20.28,689,'Charged Off'
18000,'60 months',0.202,'10+ years','RENT',59500,17.11,679,'Charged Off'
8400,'36 months',0.1367,'10+ years','RENT',43000,16.49,669,'Charged Off'
35000,'36 months',0.162,'4 years','RENT',107000,20.41,719,'Charged Off'
13200,'36 months',0.1299,'8 years','RENT',49000,32.11,664,'Charged Off'
3000,'60 months',0.192,'5 years','MORTGAGE',40003,13.83,674,'Charged Off'
6000,'60 months',0.234,'10+ years','MORTGAGE',75000,12.46,689,'Charged Off'
18000,'36 months',0.0967,'10+ years','OWN',125670,18.43,694,'Charged Off'
20000,'60 months',0.217,'10+ years','MORTGAGE',55000,25.85,684,'Charged Off'
25000,'60 months',0.224,'4 years','RENT',102000,17.19,664,'Charged Off'
20000,'36 months',0.1199,'6 years','MORTGAGE',72000,17.53,699,'Charged Off'
10625,'36 months',0.224,'9 years','RENT',56000,16.8,664,'Charged Off'
12000,'60 months',0.1855,'6 years','MORTGAGE',70000,18.31,679,'Charged Off'
10700,'60 months',0.234,'7 years','MORTGAGE',50000,15.36,684,'Charged Off'
8325,'36 months',0.1561,'3 years','MORTGAGE',24500,9.64,799,'Charged Off'
30000,'36 months',0.1099,'1 year','MORTGAGE',70000,17.05,664,'Charged Off'
14675,'60 months',0.151,'6 years','MORTGAGE',48000,21.75,684,'Charged Off'
10000,'36 months',0.079,'8 years','RENT',40000,15.74,724,'Charged Off'
21000,'36 months',0.1199,'10+ years','MORTGAGE',55000,21.96,709,'Charged Off'
17625,'60 months',0.192,'1 year','MORTGAGE',95000,12.83,684,'Charged Off'
16000,'36 months',0.1561,'3 years','RENT',75000,18.3,689,'Charged Off'
15000,'60 months',0.151,'10+ years','MORTGAGE',91000,17.67,719,'Charged Off'
8000,'36 months',0.1367,'6 years','MORTGAGE',36000,25.27,719,'Charged Off'
6375,'36 months',0.1855,'< 1 year','RENT',85000,19.14,679,'Charged Off'
3775,'36 months',0.1561,'4 years','MORTGAGE',58000,29.62,694,'Charged Off'
14000,'60 months',0.192,'7 years','MORTGAGE',96000,25.36,699,'Charged Off'
8000,'36 months',0.217,'1 year','RENT',74872,16.04,669,'Charged Off'
15000,'36 months',0.1561,'10+ years','OWN',75000,13.84,679,'Charged Off'
11000,'36 months',0.1952,'10+ years','MORTGAGE',34000,32.47,664,'Charged Off'
28625,'36 months',0.151,'10+ years','MORTGAGE',80000,28.26,684,'Charged Off'
20000,'60 months',0.1561,'10+ years','OWN',98000,15.57,699,'Charged Off'
7200,'60 months',0.1855,'10+ years','RENT',67000,23.72,709,'Charged Off'
30000,'36 months',0.1776,'2 years','RENT',144000,14.23,679,'Charged Off'
10000,'60 months',0.1855,'10+ years','MORTGAGE',80000,13.5,689,'Charged Off'
26500,'60 months',0.234,'10+ years','OWN',60000,18.11,709,'Charged Off'
18650,'36 months',0.1776,'2 years','RENT',95000,16.09,664,'Charged Off'
15550,'36 months',0.1299,'8 years','MORTGAGE',50000,18.67,689,'Charged Off'
30000,'60 months',0.202,'8 years','MORTGAGE',105000,4.38,739,'Charged Off'
11500,'60 months',0.2583,'< 1 year','MORTGAGE',50000,19.18,669,'Charged Off'
21850,'60 months',0.1952,'10+ years','MORTGAGE',50000,32.36,699,'Charged Off'
15000,'36 months',0.151,'10+ years','RENT',65000,21.55,704,'Charged Off'
13675,'36 months',0.202,'10+ years','OWN',51500,20.27,674,'Charged Off'
15000,'36 months',0.1561,'7 years','MORTGAGE',62000,15.69,679,'Charged Off'
17325,'36 months',0.1199,'10+ years','OWN',78000,29.52,819,'Charged Off'
3800,'36 months',0.162,'1 year','RENT',32000,20.22,699,'Charged Off'
9000,'36 months',0.089,'10+ years','RENT',52000,22.27,799,'Charged Off'
20000,'36 months',0.1367,'< 1 year','MORTGAGE',65000,19.73,709,'Charged Off'
14000,'60 months',0.192,'7 years','MORTGAGE',80000,5.6,684,'Charged Off'
9000,'36 months',0.192,'10+ years','RENT',64000,29.69,669,'Charged Off'
35000,'36 months',0.151,'2 years','RENT',82000,22.87,699,'Charged Off'
24000,'60 months',0.1776,'3 years','RENT',61550,8.21,689,'Charged Off'
21000,'60 months',0.1855,'10+ years','MORTGAGE',120000,11.81,669,'Charged Off'
24925,'60 months',0.2499,'7 years','MORTGAGE',150000,12.38,689,'Charged Off'
19000,'60 months',0.217,'2 years','MORTGAGE',47500,32.43,689,'Charged Off'
3600,'36 months',0.1199,'7 years','RENT',43582,26.99,664,'Charged Off'
20000,'60 months',0.192,'2 years','MORTGAGE',70000,21.62,674,'Charged Off'
21000,'60 months',0.1099,'6 years','MORTGAGE',103000,19.45,784,'Charged Off'
12250,'60 months',0.231,'2 years','MORTGAGE',55000,20.69,679,'Charged Off'
15000,'36 months',0.1199,'8 years','RENT',130000,11.07,684,'Charged Off'
20400,'60 months',0.224,'9 years','RENT',47000,22.93,679,'Charged Off'
21000,'60 months',0.237,'10+ years','MORTGAGE',63765,27.57,664,'Charged Off'
13000,'36 months',0.1855,'4 years','MORTGAGE',95000,12.14,714,'Charged Off'
24000,'60 months',0.1561,'5 years','MORTGAGE',75000,16.16,709,'Charged Off'
13500,'36 months',0.162,'2 years','RENT',55000,16.98,669,'Charged Off'
7800,'36 months',0.143,'5 years','RENT',27894,16.05,674,'Charged Off'
21250,'60 months',0.245,'5 years','RENT',48000,21.88,664,'Charged Off'
6075,'36 months',0.162,'9 years','OWN',22000,8.57,679,'Charged Off'
10000,'36 months',0.171,'5 years','MORTGAGE',35000,31.45,704,'Charged Off'
17325,'60 months',0.202,'6 years','RENT',53152,33.67,679,'Charged Off'
16000,'60 months',0.231,'1 year','RENT',46200,32.9,679,'Charged Off'
9000,'36 months',0.143,'1 year','RENT',160000,2.8,679,'Charged Off'
9600,'36 months',0.171,'10+ years','MORTGAGE',39000,16.49,674,'Charged Off'
10625,'60 months',0.1952,'< 1 year','RENT',32000,30.12,709,'Charged Off'
13200,'36 months',0.1199,'7 years','MORTGAGE',42000,24.23,699,'Charged Off'
9600,'36 months',0.1099,'6 years','RENT',51000,27.04,679,'Charged Off'
30000,'60 months',0.1855,'7 years','MORTGAGE',78000,12.15,729,'Charged Off'
13600,'60 months',0.192,'6 years','MORTGAGE',50000,21.12,684,'Charged Off'
5000,'36 months',0.1199,'9 years','MORTGAGE',60000,21.16,694,'Charged Off'
22000,'60 months',0.1561,'10+ years','MORTGAGE',60000,20.6,719,'Charged Off'
26375,'36 months',0.217,'3 years','OWN',70000,18.2,724,'Charged Off'
22750,'60 months',0.192,'10+ years','MORTGAGE',92000,22.56,719,'Charged Off'
20000,'60 months',0.162,'2 years','MORTGAGE',70000,25.37,679,'Charged Off'
6850,'36 months',0.224,'< 1 year','RENT',22880,15.4,679,'Charged Off'
5000,'36 months',0.151,'4 years','MORTGAGE',85000,7.92,664,'Charged Off'
32500,'36 months',0.224,'10+ years','RENT',193000,10.97,684,'Charged Off'
25000,'60 months',0.1199,'10+ years','MORTGAGE',73000,22.44,719,'Charged Off'
15800,'60 months',0.21,'10+ years','MORTGAGE',45000,30.61,704,'Charged Off'
20675,'60 months',0.1776,'3 years','MORTGAGE',149000,24.28,699,'Charged Off'
35000,'60 months',0.224,'10+ years','MORTGAGE',115000,13.59,689,'Charged Off'
14675,'60 months',0.224,'n/a','RENT',60000,13.65,669,'Charged Off'
